time,value,Dose,Drug
2.933238864,251.9331611,10 mg/kg,lecanemab
8.727255168,220.2176259,10 mg/kg,lecanemab
25.06585939,188.1643137,10 mg/kg,lecanemab
216.6336028,49.23056101,10 mg/kg,lecanemab
480.8511804,18.76272665,10 mg/kg,lecanemab
648.6051979,9.06729014,10 mg/kg,lecanemab
3.037583328,66.67270838,3 mg/kg,lecanemab
8.74754436,58.74070291,3 mg/kg,lecanemab
25.08904704,50.60807756,3 mg/kg,lecanemab
216.6973688,9.698540244,3 mg/kg,lecanemab
481.1294323,1.54940487,3 mg/kg,lecanemab
10.01911756,150.5042197,10 mg/kg,aducanumab
55.43009093,112.637558,10 mg/kg,aducanumab
100.8952217,60.282964,10 mg/kg,aducanumab
173.4390486,35.83348582,10 mg/kg,aducanumab
340.2708953,22.05346087,10 mg/kg,aducanumab
508.2671259,13.99141214,10 mg/kg,aducanumab
1012.932785,5.946439243,10 mg/kg,aducanumab
1851.289217,2.102197146,10 mg/kg,aducanumab
4030.799309,0.167251544,10 mg/kg,aducanumab
9.694173206,55.55190391,3 mg/kg,aducanumab
53.5887396,43.62434375,3 mg/kg,aducanumab
98.7830834,24.23022388,3 mg/kg,aducanumab
172.0038777,13.09189076,3 mg/kg,aducanumab
340.8124692,6.926406045,3 mg/kg,aducanumab
511.9227499,5.712819012,3 mg/kg,aducanumab
1010.847726,1.963269709,3 mg/kg,aducanumab
1852.913938,0.451665299,3 mg/kg,aducanumab
2.677375243,208.7441078,10 mg/kg,donanemab
23.92953778,139.1734391,10 mg/kg,donanemab
71.30398458,87.62744414,10 mg/kg,donanemab
167.5385434,42.19101875,10 mg/kg,donanemab
336.7216466,24.7946537,10 mg/kg,donanemab
504.6097583,16.14555744,10 mg/kg,donanemab
670.9009785,8.113314522,10 mg/kg,donanemab
1009.608809,3.689709411,10 mg/kg,donanemab
1347.196431,1.116813645,10 mg/kg,donanemab
1680.803742,0.482739771,10 mg/kg,donanemab
2016.540242,0.25802969,10 mg/kg,donanemab
0.015889467,70.03326924,3 mg/kg,donanemab
23.5323011,47.27672434,3 mg/kg,donanemab
71.87600541,24.33642501,3 mg/kg,donanemab
169.1116007,9.887383385,3 mg/kg,donanemab
336.5389178,3.807702859,3 mg/kg,donanemab
505.0943871,1.601610702,3 mg/kg,donanemab
672.259528,0.951578994,3 mg/kg,donanemab
