amyloid positive,amyloid negative
-8.15E-05,2.39E-05
-2.15E-05,8.77E-06
5.27E-06,-5.88E-07
9.39E-05,-3.79E-05
5.04E-05,0.000180721
0.000650314,0.000359226
0.001121213,0.000956319
0.002092434,0.002098148
0.003285497,0.003235833
0.004091288,0.005382084
0.00494041,0.006786187
0.005754358,0.008673713
0.006370497,0.010739829
0.007556608,0.011537543
0.008151466,0.012610312
0.008549283,0.01404322
0.008960009,0.014907436
0.008623822,0.015411351
0.008803107,0.016452232
0.008336508,0.016910506
0.008592811,0.016843364
0.007786616,0.016121899
0.007556407,0.015457851
0.006661483,0.015037078
0.00723969,0.014547542
0.006404947,0.013167523
0.005715784,0.012931639
0.005365765,0.011800753
0.005333955,0.010931135
0.004796356,0.010383485
0.004301767,0.010094128
0.003946619,0.009475393
0.003749679,0.008800247
0.003759302,0.008487227
0.003772518,0.008078788
0.002829437,0.007721881
0.00311735,0.007111891
