model,dose,bodyweight,gpm,final_dose,dose_interval,monomer,oligomer,plaque,simulation_time,colour
sol,400,1,144084.24,13104,28,0.6,20000,20000,13104,#53fca1
adu_high,10,82,145912.34,13104,28,7350,2.2,3.3,13104,#24bca8
adu_low,6,82,145912.34,13104,28,7350,2.2,3.3,13104,#c3fbf4
lec_201_2_5bw,2.5,82,147181.62,13104,14,2300,67.3,1.8,13104,#FFE066
lec_201_5m,5,82,147181.62,13104,28,2300,67.3,1.8,13104,#FFA733
lec_201_5bw,5,82,147181.62,13104,14,2300,67.3,1.8,13104,#F47C2C
lec_201_10m,10,83,147181.62,13104,28,2300,67.3,1.8,13104,#E04E20
lec_CLARITY_10bw,10,83,147181.62,13104,14,2300,67.3,1.8,13104,#C0251A
gant,500,1,146276.71,17472,14,1270,30.7,0.69,17472,#65A31F
don,1400,1,145912.34,13104,28,20000,20000,9.79E-05,13104,#ff7855
tront_1_8,1.8,70,194250,8736,28,1270,30.7,0.69,8736,#B85A9F
tront_3_6,3.6,70,194250,8736,28,1270,30.7,0.69,8736,#1FA3A1
tront_1_8_x15,1.8,70,194250,8736,28,1270,30.7,0.69,8736,#F9A8C9
tront_1_8_x25,1.8,70,194250,8736,28,1270,30.7,0.69,8736,#C45FA0
tront_1_8_x35,1.8,70,194250,8736,28,1270,30.7,0.69,8736,#6B2D8B
tront_3_6_x15,3.6,70,194250,8736,28,1270,30.7,0.69,8736,#A8D4F5
tront_3_6_x25,3.6,70,194250,8736,28,1270,30.7,0.69,8736,#3B84C4
tront_3_6_x35,3.6,70,194250,8736,28,1270,30.7,0.69,8736,#0F3460
